"uid","Intervention","Intervention Provider","Target Population","Target Population Location","Discipline","Research Stage","Outcome Measures"
"medline-37875663","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Computational reproducibility"
"medline-37878066","Weight management programme","Primary care practices","Individuals with type 2 diabetes","Scotland; England","Biomedical and health sciences","Conduct stage","Effect size estimation; Data availability and re-use"
"medline-37880619","Treat-All policy","Government","Researchers / Researcher Collaboration","Africa","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"medline-37881450","Open science infrastructure","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","UK","Biomedical and health sciences","Conduct stage; Reporting stage","Computational reproducibility; Code / analysis availability and re-use"
"medline-37892874","Federated learning","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Biomedical and health sciences","Conduct stage","Data availability and re-use; Computational reproducibility"
"medline-37899402","CONSORT guidelines","Unspecified","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-37903810","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-37905558","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Data quality checks / feedback"
"medline-37906633","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use; Privacy protection"
"medline-37910557","Open design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Biomedical and health sciences","Planning and design stage; Conduct stage","Reproducibility; Materials availability and re-use"
"medline-37921334","CHEERS guidelines","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","UK; Australia","Biomedical and health sciences","Planning and design stage; Conduct stage","Reporting quality"
"medline-37921564","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","England; Wales","Biomedical and health sciences","Conduct stage","Data quality checks / feedback"
"medline-37941395","Open science infrastructure","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Data availability and re-use"
"medline-37950113","Pre-registration","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Planning and design stage","Effect size estimation; Type-I error reduction; Type-II error reduction; Reporting quality"
"medline-37955667","Other quality checks / feedback","Institution","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"medline-37971187","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","USA","Natural sciences","Planning and design stage; Conduct stage","Effect size estimation"
"medline-37984998","Open science infrastructure","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage; Reporting stage","Data availability and re-use; Computational reproducibility"
"medline-37990943","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","United Kingdom","Biomedical and health sciences","Conduct stage","Effect size estimation"
"medline-37999216","Benchmark dataset","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Planning and design stage; Conduct stage","Computational reproducibility"
"medline-38000364","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Conduct stage","Computational reproducibility"
"medline-38000767","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Effect size estimation"
"medline-38005619","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Effect size estimation"
"medline-38005885","Open science infrastructure","Government","Researchers / Researcher Collaboration","Global","Biomedical and health sciences","Conduct stage; Reporting stage","Data availability and re-use; Computational reproducibility"
"medline-38010062","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","United States","Biomedical and health sciences","Conduct stage","Type-I error reduction; Effect size estimation"
"medline-38020598","Acupuncture","Researchers / Researcher Collaboration","Patients","Global","Biomedical and health sciences","Conduct stage; Reporting stage","Effect size estimation; Reporting quality; Publication bias"
"medline-38046400","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Engineering and technology; Biomedical and health sciences","Assessment","Reporting quality"
"medline-38048895","Open data badges; Open code badges","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Engineering and technology; Biomedical and health sciences","Conduct stage; Reporting stage","Data availability and re-use; Code / analysis availability and re-use; Computational reproducibility"
"medline-38053191","Data access policies / agreements","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"medline-38054868","Drug policy","Government","General public","Italy","Social sciences","Assessment","Effect size estimation"
"medline-38063168","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-38064177","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Type-I error reduction; Type-II error reduction"
"medline-38070153","Data sharing policy/guideline","Unspecified","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Reporting stage","Data availability and re-use"
"medline-38082357","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Biomedical and health sciences","Conduct stage; Reporting stage","Computational reproducibility"
"medline-38083130","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-38087062","Open science infrastructure","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage; Reporting stage","Data availability and re-use; Computational reproducibility"
"medline-38096136","PRISMA guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-38108640","Unspecified","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-38113414","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage; Reporting stage","Data availability and re-use"
"medline-38117219","Materials sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Materials availability and re-use; Computational reproducibility"
"medline-38132070","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-38135944","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology; Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-38151528","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Switzerland","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-38152352","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","United States","Biomedical and health sciences","Conduct stage","Data availability and re-use; Privacy protection"
"medline-38158214","TIDieR guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-38166017","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-38167901","Data sharing policy/guideline; Open science infrastructure","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","United States","Biomedical and health sciences","Conduct stage; Reporting stage","Data availability and re-use; Computational reproducibility"
"medline-38172860","Research ethics training","Institution","Researchers / Researcher Collaboration","Uganda","Biomedical and health sciences","Conduct stage; Reporting stage","Transparency of contributions; Reporting quality"
"medline-38174124","Other reporting guidelines, checklists, or standards","Institution","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-38175395","Open-source tool","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use; Computational reproducibility"
"medline-38181037","Other quality checks / feedback","Commercial provider","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-38183193","Open science infrastructure","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use; Privacy and security"
"medline-38184529","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality; Computational reproducibility"
"medline-38185767","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Spain","Social sciences","Conduct stage","Effect size estimation"
"medline-38200587","Open-source framework","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage; Reporting stage","Computational reproducibility"
"medline-38225565","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-38225802","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-3927711","Experimental design","Researchers / Researcher Collaboration","Patients","United States","Biomedical and health sciences","Conduct stage","Effect size estimation; Reporting quality"
"medline-4736794","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-504722","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Computational reproducibility"
"medline-6429609","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Reproducibility"
"medline-6540592","Experimental design","Researchers / Researcher Collaboration","Patients","Unspecified","Biomedical and health sciences","Conduct stage","Effect size estimation; Reporting quality"
"medline-6843795","Statistical training","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Planning and design stage; Conduct stage","Reporting quality; Effect size estimation"
"medline-7356083","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-7596208","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage; Reporting stage","Reporting quality"
"medline-7953112","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-808926","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Computational reproducibility"
"medline-8157751","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","United Kingdom","Biomedical and health sciences","Conduct stage","Reporting quality"
"medline-8194018","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-8703346","Experimental design","Researchers / Researcher Collaboration","Unspecified","Unspecified","Natural sciences","Conduct stage","Unspecified"
"medline-8817389","Workflow standardisation","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","North America","Biomedical and health sciences","Conduct stage","Reporting quality; Computational reproducibility"
"medline-9292677","Statistical method","Researchers / Researcher Collaboration","Patients","Austria","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-9301556","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","United Kingdom","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-9349902","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-9372744","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","United States","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-9489650","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-9577368","Other quality checks / feedback","Institution","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-9591201","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","United States","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-9599688","Validation","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"medline-9744846","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Reporting stage","Reporting bias"
"medline-9746022","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"medline-9756604","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"psychinfo-1969-04780-001","Experimental design","Researchers / Researcher Collaboration","Students","Unspecified","Social sciences","Conduct stage","Effect size estimation; Reporting quality"
"psychinfo-1978-12165-001","Experimental design","Researchers / Researcher Collaboration","Students","Unspecified","Social sciences","Conduct stage","Effect size estimation"
"psychinfo-1981-09261-001","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Conduct stage","Reporting quality"
"psychinfo-1981-30186-001","Materials sharing policy/guideline","Researchers / Researcher Collaboration","Students","Unspecified","Social sciences","Conduct stage","Materials availability and re-use"
"psychinfo-1986-11740-001","Experimental design","Researchers / Researcher Collaboration","Students","Unspecified","Social sciences","Conduct stage","Unspecified"
"psychinfo-1993-03825-001","Data sharing policy/guideline","Unspecified","Researchers / Researcher Collaboration","Unspecified","Engineering and technology; Social sciences","Conduct stage","Data availability and re-use"
"psychinfo-1997-07093-011","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Effect size estimation"
"psychinfo-2001-06872-005","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Effect size estimation"
"psychinfo-2002-02046-002","Materials sharing policy/guideline","Institution","Students","Unspecified","Social sciences","Conduct stage","Effect size estimation"
"psychinfo-2003-08186-016","Experimental design","Researchers / Researcher Collaboration","Adults","Unspecified","Biomedical and health sciences","Conduct stage","Effect size estimation"
"psychinfo-2003-10437-012","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Italy","Social sciences","Conduct stage","Reporting quality"
"psychinfo-2004-12564-054","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Unspecified"
"psychinfo-2004-19399-002","Other quality checks / feedback","Researchers / Researcher Collaboration","Research participants","Unspecified","Biomedical and health sciences","Conduct stage","Reporting quality"
"psychinfo-2005-03383-001","Other peer review process","Learned societies","Researchers / Researcher Collaboration","Unspecified","Social sciences; Biomedical and health sciences","Planning and design stage; Reporting stage","Reporting quality"
"psychinfo-2005-05922-003","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Data availability and re-use"
"psychinfo-2005-07422-003","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Planning and design stage","Reporting quality"
"psychinfo-2007-12312-004","Systematic review training","Government","Children / Adolescents","United Kingdom","Social sciences","Assessment","Reporting quality; Publication bias"
"psychinfo-2008-04757-003","CONSORT guidelines","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"psychinfo-2008-99091-164","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Conduct stage","Reporting quality"
"psychinfo-2009-11986-002","Psychotherapy","Researchers / Researcher Collaboration","Patients","Unspecified","Biomedical and health sciences","Conduct stage","Effect size estimation"
"psychinfo-2009-15628-001","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"psychinfo-2009-21792-010","Other quality checks / feedback","Institution","Researchers / Researcher Collaboration; Students","Brazil","Biomedical and health sciences","Reporting stage","Reporting quality"
"psychinfo-2010-10555-002","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Planning and design stage","Effect size estimation; Reporting quality"
"psychinfo-2010-20664-007","Other peer review process","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","United States","Social sciences","Conduct stage","Reporting quality"
"psychinfo-2010-99090-072","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology; Social sciences","Conduct stage","Effect size estimation; Reporting quality"
"psychinfo-2011-02806-005","STROBE guidelines","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality; Effect size estimation"
"psychinfo-2011-03676-007","CONSORT guidelines; Trial registration","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality; Transparency of evaluation"
"psychinfo-2011-06014-002","Experimental design","Researchers / Researcher Collaboration","Students","Unspecified","Natural sciences; Social sciences","Conduct stage","Effect size estimation"
"psychinfo-2011-16490-001","Unspecified","Unspecified","Researchers / Researcher Collaboration","United Kingdom","Social sciences","Unspecified","Unspecified"
"psychinfo-2011-20946-006","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Global","Biomedical and health sciences","Reporting stage","Reporting quality"
"psychinfo-2011-25830-001","Experimental design","Researchers / Researcher Collaboration","Law enforcement","Unspecified","Social sciences","Conduct stage","Effect size estimation"
"psychinfo-2012-11250-027","Training community","Institution","Students","Turkey","Natural sciences","Conduct stage","Effect size estimation"
"psychinfo-2012-12186-005","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Planning and design stage; Conduct stage","Type-I error reduction; Type-II error reduction"
"psychinfo-2012-13329-014","Training community","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Unspecified"
"psychinfo-2012-23127-003","Other reporting guidelines, checklists, or standards","Funder","Researchers / Researcher Collaboration","United Kingdom","Social sciences","Planning and design stage","Reporting quality"
"psychinfo-2013-00158-018","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Computational reproducibility"
"psychinfo-2013-28613-004","Training community","Institution","Students","Unspecified","Social sciences","Conduct stage","Effect size estimation"
"psychinfo-2013-30858-001","Open science infrastructure","Government","Organisation","Europe","Social sciences","Unspecified","Data availability and re-use"
"psychinfo-2014-05311-004","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"psychinfo-2014-06057-009","Other quality checks / feedback","Researchers / Researcher Collaboration","Consumers","Argentina; Uruguay","Social sciences","Conduct stage","Computational reproducibility"
"psychinfo-2014-12101-004","Reporting quality checks / feedback","Institution","Teachers","Unspecified","Social sciences","Conduct stage","Reporting quality"
"psychinfo-2014-13629-014","Other quality checks / feedback","Institution","Researchers / Researcher Collaboration","Unspecified","Social sciences","Reporting stage","Reporting quality"
"psychinfo-2014-18092-001","Data access policies / agreements","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Data quality checks / feedback"
"psychinfo-2014-21155-016","Other quality checks / feedback","Researchers / Researcher Collaboration","Consumers","Unspecified","Social sciences","Conduct stage","Computational reproducibility"
"psychinfo-2014-36848-006","Psychopharmacological intervention","Researchers / Researcher Collaboration","Students","Unspecified","Biomedical and health sciences","Conduct stage","Reporting quality"
"psychinfo-2014-43502-002","Open educational resources","Unspecified","Students","Unspecified","Natural sciences","Conduct stage","Effect size estimation"
"psychinfo-2014-47467-011","Other peer review process","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Code / analysis availability and re-use; Development productivity; Product popularity"
"psychinfo-2014-48383-001","Resilience promotion programs","Unspecified","Adults","Unspecified","Social sciences; Biomedical and health sciences","Conduct stage","Effect size estimation; Reporting quality"
"psychinfo-2014-56665-007","Open textbooks","Unspecified","Students","Unspecified","Natural sciences","Conduct stage","Effect size estimation"
"psychinfo-2015-07862-007","Psychological treatments; Antipsychotics; Cannabinoids","Researchers / Researcher Collaboration","Patients","Unspecified","Biomedical and health sciences","Conduct stage","Effect size estimation"
"psychinfo-2015-19402-002","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"psychinfo-2015-23873-010","Other reporting guidelines, checklists, or standards","Unspecified","Researchers / Researcher Collaboration","Unspecified","Social sciences","Reporting stage","Reporting quality"
"psychinfo-2015-26482-012","Other reporting guidelines, checklists, or standards","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"psychinfo-2015-36658-001","Music-based intervention","Researchers / Researcher Collaboration","Patients","Unspecified","Biomedical and health sciences","Conduct stage","Effect size estimation; Reporting quality"
"psychinfo-2015-37173-003","Experimental design","Researchers / Researcher Collaboration","Consumers","Uruguay","Social sciences","Conduct stage","Reproducibility"
"psychinfo-2015-40347-001","PRISMA guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"psychinfo-2015-52467-010","Trial registration","Unspecified","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"psychinfo-2015-58122-006","Replication study","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Conduct stage","Effect size estimation; Reporting quality"
"psychinfo-2015-99020-561","Data access policies / agreements","Unspecified","Patients","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"psychinfo-2015-99030-273","Experimental design","Researchers / Researcher Collaboration","Students","Unspecified","Natural sciences","Conduct stage","Effect size estimation; Reporting quality"
"psychinfo-2015-99090-561","Consultant-consultee contracting; Parental involvement","Researchers / Researcher Collaboration","Students","Unspecified","Social sciences","Conduct stage","Reporting quality"
"psychinfo-2015-99230-466","Unspecified","Unspecified","Unspecified","Unspecified","Social sciences","Unspecified","Unspecified"
"psychinfo-2016-00669-002","Unspecified","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Planning and design stage; Conduct stage","Unspecified"
"psychinfo-2016-08109-001","Materials sharing policy/guideline","Researchers / Researcher Collaboration","Students","Unspecified","Social sciences","Conduct stage","Materials availability and re-use"
"psychinfo-2016-12242-007","Open science infrastructure","Unspecified","Researchers / Researcher Collaboration","Unspecified","Social sciences","Conduct stage","Data availability and re-use"
"psychinfo-2016-13064-001","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage; Reporting stage","Computational reproducibility"
"psychinfo-2016-16234-075","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Conduct stage","Computational reproducibility"
"psychinfo-2016-39304-001","Other reporting guidelines, checklists, or standards","Government","Organisation","China","Social sciences","Reporting stage","Reporting quality"
"psychinfo-2016-41530-004","Experimental design","Researchers / Researcher Collaboration","Patients","Unspecified","Biomedical and health sciences","Conduct stage","Effect size estimation"
"psychinfo-2016-43071-010","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Effect size estimation"
"psychinfo-2016-45771-001","Pre-registration","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Planning and design stage","Effect size estimation; Reporting quality"
"psychinfo-2016-51234-015","Other quality checks / feedback","Unspecified","Consumers","Unspecified","Social sciences","Conduct stage","Transparency of evaluation"
"psychinfo-2016-99020-358","Unspecified","Unspecified","Public","Unspecified","Social sciences","Unspecified","Unspecified"
"psychinfo-2017-23160-204","Other quality checks / feedback","Unspecified","Researchers / Researcher Collaboration","Unspecified","Social sciences","Conduct stage","Data quality checks / feedback"
"psychinfo-2017-32629-024","Pre-registration","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Biomedical and health sciences","Planning and design stage; Conduct stage","Type-I error reduction; Type-II error reduction; Effect size estimation; Computational reproducibility"
"psychinfo-2017-34934-001","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Planning and design stage; Conduct stage; Reporting stage","Effect size estimation"
"psychinfo-2017-36181-019","Other reporting guidelines, checklists, or standards","Unspecified","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"psychinfo-2017-54453-006","Data access policies / agreements","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Data availability and re-use"
"psychinfo-2018-03619-001","Other peer review process","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Conduct stage","Effect size estimation"
"psychinfo-2018-12678-003","Open data badges; Open materials badges","Publisher / journal","Students","Australia","Social sciences","Reporting stage","Data availability and re-use; Materials availability and re-use"
"psychinfo-2018-14578-003","Replication","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","United States","Social sciences","Conduct stage","Effect size estimation; Reporting quality"
"psychinfo-2018-20127-001","Open materials badges","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Social sciences","Reporting stage","Materials availability and re-use"
"psychinfo-2018-20918-035","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","The Netherlands","Biomedical and health sciences","Conduct stage; Reporting stage","Data availability and re-use; Computational reproducibility"
"psychinfo-2018-24581-004","Open data badges; Open materials badges","Publisher / journal","Researchers / Researcher Collaboration","United States","Social sciences","Reporting stage","Data availability and re-use; Materials availability and re-use"
"psychinfo-2018-24581-008","Open data badges; Open materials badges","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Social sciences","Reporting stage","Data availability and re-use; Materials availability and re-use"
"psychinfo-2018-37779-001","Open data badges; Open materials badges","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Social sciences","Reporting stage","Data availability and re-use; Materials availability and re-use"
"psychinfo-2018-42681-001","Open data badges; Open materials badges","Publisher / journal","Students","Unspecified","Social sciences","Unspecified","Data availability and re-use; Materials availability and re-use"
"psychinfo-2018-48571-172","Other quality checks / feedback","Institution","Students","United States","Social sciences","Conduct stage","Effect size estimation; Reporting quality"
"psychinfo-2018-60576-001","Open data badges; Open materials badges","Publisher / journal","Students","France","Social sciences","Reporting stage","Data availability and re-use; Materials availability and re-use"
"psychinfo-2019-01736-004","Transparency of contributions","Organisation","Organisation","Unspecified","Social sciences","Unspecified","Transparency of contributions"
"psychinfo-2019-02928-001","Open data badges; Open materials badges","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Social sciences","Reporting stage","Data availability and re-use; Materials availability and re-use"
"psychinfo-2019-23503-010","Collaboration between academia and industry","Institution; Organisation","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Engineering and technology; Biomedical and health sciences","Conduct stage","Publication bias"
